出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘(元),普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利
"1100421","109","4","2540","愛山林建設開發股份有限公司","建材營造","6.18","新台幣                 10.0000元","4778150.00","1304023.00","-112829.00","906148.00"
"1100421","109","4","2542","興富發建設股份有限公司","建材營造","2.11","新台幣                 10.0000元","24463018.00","4136357.00","-820200.00","2823254.00"
"1100421","109","4","2543","皇昌營造股份有限公司","建材營造","0.15","新台幣                 10.0000元","6406216.00","79784.00","-28116.00","51668.00"
"1100421","109","4","2545","皇翔建設股份有限公司","建材營造","5.33","新台幣                 10.0000元","6456420.00","2073788.00","-308319.00","1746646.00"
"1100421","109","4","2546","根基營造股份有限公司","建材營造","5.91","新台幣                 10.0000元","14130629.00","769772.00","12420.00","626444.00"
"1100421","109","4","2547","日勝生活科技股份有限公司","建材營造","0.69","新台幣                 10.0000元","6772332.00","452500.00","549158.00","667285.00"
"1100421","109","4","2548","華固建設股份有限公司","建材營造","10.05","新台幣                 10.0000元","11338494.00","3112279.00","82377.00","2772769.00"
"1100421","109","4","2597","潤弘精密工程事業股份有限公司","建材營造","7.48","新台幣                 10.0000元","14468066.00","1155907.00","183813.00","1089458.00"
"1100421","109","4","2601","益航股份有限公司","貿易百貨","-0.42","新台幣                 10.0000元","6441828.00","316584.00","-687902.00","-321142.00"
"1100421","109","4","2603","長榮海運股份有限公司","航運業","5.06","新台幣                 10.0000元","207077912.00","34667864.00","-2828035.00","28767310.00"
"1100421","109","4","2605","新興航運股份有限公司","航運業","0.24","新台幣                 10.0000元","3985650.00","695907.00","-331940.00","255092.00"
"1100421","109","4","2606","裕民航運股份有限公司","航運業","1.04","新台幣                 10.0000元","8507364.00","509343.00","323509.00","878425.00"
"1100421","109","4","2607","長榮國際儲運股份有限公司","航運業","0.64","新台幣                 10.0000元","6966387.00","744984.00","81375.00","682563.00"
"1100421","109","4","2608","嘉里大榮物流股份有限公司","航運業","3.21","新台幣                 10.0000元","12344210.00","1961928.00","6090.00","1570394.00"
"1100421","109","4","2609","陽明海運股份有限公司","航運業","4.51","新台幣                 10.0000元","151276683.00","19460192.00","-3310149.00","12186788.00"
"1100421","109","4","2610","中華航空股份有限公司","航運業","0.03","新台幣                 10.0000元","115250550.00","2184416.00","-2838213.00","-279814.00"
"1100421","109","4","2611","志信國際股份有限公司","航運業","-0.10","新台幣                 10.0000元","605824.00","-148941.00","88695.00","-60982.00"
"1100421","109","4","2612","中國航運股份有限公司","航運業","1.67","新台幣                 10.0000元","3131115.00","171511.00","180548.00","329039.00"
"1100421","109","4","2613","中國貨櫃運輸股份有限公司","航運業","0.23","新台幣                 10.0000元","2830493.00","177809.00","-142005.00","30773.00"
"1100421","109","4","2614","東森國際股份有限公司","貿易百貨","0.94","新台幣                 10.0000元","4728014.00","-10155.00","319874.00","493106.00"
"1100421","109","4","2615","萬海航運股份有限公司","航運業","5.10","新台幣                 10.0000元","81880182.00","12781658.00","1468337.00","11357488.00"
"1100421","109","4","2616","山隆通運股份有限公司","油電燃氣業","2.73","新台幣                 10.0000元","15955500.00","387149.00","75992.00","379889.00"
